name	description	Latitude-longitude information
Piercebridge Community Garden	Sourcing part of the landscape then sculpting it and reframing it so it tells the story of this place. This island was sculpted during the ice age. But when the planet warmed so the receding glaciers left erratics. Stones from another place carried along in the ice. Ancient time travellers that helped shape this place. The artist’s approach was to visit each site and source these stones then sculp and polish them so their true beauty is revealed. Every one will be unique with different textures and forms and each will be set on its own individual polished concrete plinth.	54.535184 -1.6757089
Broken Scar	A tower of interlocking planes Cascade is inspired by how man controls the river at this location. The forms and shapes are designed to echo water falling down the weir. Each plane has flowing lines and forms carved into them with random different sized cut-out circles to representing the foam formed as water enters pools below.Staron is a mineral-based synthetic material that is as robust as natural stone yet has the smooth finish of alabaster.'Dazzling white' when installed the different facets of each piece will subtly change colour as natural lighting conditions change throughout the day.	54.517334 -1.6000805
Adjacent South Park - Riverbank South of Parkside	Reflecting the leisure and fun of the park, a ‘Musical Instrument Dragonfly’ (in reference to the bandstand) in acid etch steel at 1.5m high.The 1.5m high work will be made from Corten steel It will form its own oxide coating over the first few weeks, changing colour from steel to orange and then finally to brown.The dragonfly rests on a horn-like shape (with inset blocked end). The feet are forged ‘musical notes’. The body consists of pipes (with inset blockings). The body is like a tin whistle - again any holes suggested are blocked from the inside. Both wings (only nearest one shown for clarity) are mainly tubing (some tapered) with ‘valves’ and trumpet-like	54.513406 -1.5633883
Hurworth	CURRENTLY UNDER REVIEW	54.483919 -1.5533146
The Front, Middleton One Row	This piece will be quiet and reflective. This will be achieved through use of scale as well as the naturally flowing curves within the design.The arc form represents the meanders of the river and the movement of water. The carving will use the qualities of the material to exaggerate this, with a contrast between rough and polished surfaces.The material, Ancaster Weatherbed limestone, is a dense hardwearing limestone from Lincolnshire that takes a polish. It also has the strength to support the form. The colour is a mix of blue grey and dusty pink bands with rich fossil content.The plinth will contrast the sculpture.	54.504449 -1.4576397
Aislaby Village Green	This location is something of a rural oasis along the trail, and there is a requirement for seating. My proposal for this location is to create a 'Leaf- Otter' seat.The work will be fabricated in acid etched galvanised steel. The work would be 780mm high at the tail tip and 1850mm long (if straight). The work will be concreted into the ground, with an additional concrete layer to keep grass away and to cope with the sloping/uneven ground.Elevation of the Leaf Otter (straightened out), but will be slightly curved in plan for a better form. The seat area (shown in plan above the side view) will be 450mm from the ground to allow 2 people (both adults and children) to sit upon it and will a slight ‘pitch' to allow water to drain off.	54.503869 -1.3729142
Stoney Bank, Egglescliffe	CURRENTLY UNDER REVIEW	54.512179 -1.3553024
Bowesfield and Preston Farm Nature Reserve	Sourcing part of the landscape then sculpting it and reframing it so it tells the story of this place.This island was sculpted during the ice age. But when the planet warmed so the receding glaciers left erratics. Stones from another place carried along in the ice. Ancient time travellers that helped shape this place.The artist’s approach was to visit each site and source these stones then sculp and polish them so their true beauty is revealed.Every one will be unique with different textures and forms and this one will be set on its own individual polished concrete bench.	54.535484 -1.3129917
Ingleby Wood	The design for the sculpture represents the three rivers/ waterways that surround Ingleby Barwick; the River Tees, the River Leven and Bassleton Beck.The circle of the design represents the three rivers, each as one of the intersecting facets. The circle is made from a looped equilateral triangle section rotated three times within 360 degrees, like a Toblerone twisted and made into a circle.The stone would be Fletcher Bank gritstone, richly textured sandstone from the Pennines, the plinth would be made from the same stone. The dimensions would have a combined height of 1500mm.	54.517264 -1.3014800
Relict Salt Marsh, Stainsby Beck	This installation of interlocking organic forms is inspired by how nature has reclaimed and 'rewilded' this location. The forms and shapes echo the curve of the meandering waterway as well as the natural growth of local plant life. Each plane has flowing lines and forms carved into as well as simplified leaf and appropriate bird form cut-outs representing this natural habitat.Staron is a mineral-based synthetic material that is as robust as natural stone yet has the smooth finish of alabaster.'Dazzling white' when installed the different facets of each piece will subtly change colour as natural lighting conditions change throughout the day.	54.551938 -1.2759186
